Aar_maaned;oppdatert_aarmnd;Helt_ledige_sesjust;Helt_ledige_tilt_sesjust;Arbeidssokere_sesjust;Delvis_ledige_sesjust;Tilg_Arbs_virkedag_sesjust;Tilg_stil_virkedag_sesjust;Dagpengemottakere_sesjust;HL_dagpengemottakere_sesjust
201101;202603;75216;;;28641;853;;63725;42789
201102;202603;73544;;;29517;918;;63693;41662
201103;202603;71902;;;29288;872;;63872;41183
201104;202603;70879;;;30509;837;;62581;39636
201105;202603;68667;;;28752;808;;59559;37756
201106;202603;67421;;;26625;834;;57460;37137
201107;202603;67749;;;29139;877;;57857;37316
201108;202603;68318;;;27600;868;;57993;37054
201109;202603;67389;;;27240;859;;57735;36779
201110;202603;67431;;;27179;866;;57714;36741
201111;202603;66244;;;27038;826;;56963;36134
201112;202603;66742;;;26983;865;;56425;35894
201201;202603;66193;;;27495;870;;56681;35685
201202;202603;66072;;;26513;871;;55999;35401
201203;202603;65494;;;26173;836;;54725;34565
201204;202603;65780;;;25056;848;;53615;34308
201205;202603;65191;;;25715;826;;53041;33868
201206;202603;66098;;;25450;838;;52965;33842
201207;202603;67064;;;25259;840;;52704;34753
201208;202603;65627;;;25455;853;;52305;33548
201209;202603;65068;;;25214;821;;51408;32949
201210;202603;64687;;;24852;821;;50910;32679
201211;202603;65005;;;24973;840;;51048;32836
201212;202603;65671;;;25148;850;;51087;33047
201301;202603;66153;;;25056;871;;50972;33199
201302;202603;66520;;;24970;869;;51413;33635
201303;202603;67546;;;25442;906;;51894;34012
201304;202603;67736;;;25903;925;;53433;34362
201305;202603;69405;;;25626;968;;53413;35175
201306;202603;68646;;;26078;866;;53901;35096
201307;202603;70033;;;25735;895;;53923;36193
201308;202603;70677;;;26078;904;;54377;35949
201309;202603;71774;;;26348;944;;55093;36498
201310;202603;72283;;;26700;914;;55209;36679
201311;202603;73168;;;26953;910;;55285;37066
201312;202603;73914;;;26893;908;;55973;37518
201401;202603;73948;;;27297;896;;54280;36304
201402;202603;73833;;;27678;863;;55412;36857
201403;202603;74031;;;27510;891;;57521;38391
201404;202603;73695;;;26125;845;;57610;39342
201405;202603;76624;;;28410;886;;59163;39647
201406;202603;75836;;;27668;898;;59223;40265
201407;202603;75199;;;27044;869;;60019;40979
201408;202603;76169;;;27141;890;;60424;41407
201409;202603;76629;;;27614;890;;60537;41744
201410;202603;76491;;;27657;882;;60339;41352
201411;202603;75881;;;27459;890;;60731;41461
201412;202603;75382;;;27246;875;;61208;41569
201501;202603;76028;;;26967;897;;60883;41728
201502;202603;77056;;;27854;961;;62560;42776
201503;202603;77744;;;28422;987;;63578;43258
201504;202603;78624;;;29988;963;;64901;43470
201505;202603;79216;;;29529;951;;65564;44586
201506;202603;80089;;;30029;973;;66338;45111
201507;202603;80984;;;30634;1024;;67354;45660
201508;202603;82179;;;30089;1001;;68551;46668
201509;202603;82511;;;32086;1016;;70198;47024
201510;202603;84663;;;32758;1031;;72152;48281
201511;202603;84322;;;32892;1019;;72723;48525
201512;202603;84758;;;33515;1048;;73036;48551
201601;202603;85677;;;32448;981;;74036;49917
201602;202603;85656;;;34108;1063;;75090;49716
201603;202603;85538;;;34619;986;;75351;49808
201604;202603;84291;;;35082;996;;75206;48568
201605;202603;84923;;;34600;969;;75527;50033
201606;202603;84171;;;34030;967;;75965;50271
201607;202603;83493;;;35386;955;;76504;50035
201608;202603;82652;;;34854;929;;77151;50003
201609;202603;81467;;;33471;869;;76512;49945
201610;202603;82323;;;33196;956;;75990;50207
201611;202603;83030;;;33906;952;;75869;49964
201612;202603;82032;;;34119;909;;75174;48943
201701;202603;80900;101424;136534;34240;865;;75006;48374
201702;202603;79733;100653;134312;33354;852;;72675;46889
201703;202603;77824;99344;132966;32600;832;;70711;45261
201704;202603;76998;98403;130617;31415;830;;68912;44359
201705;202603;75096;97596;129191;32557;859;;67828;42821
201706;202603;74593;96182;128472;32268;827;;65459;41664
201707;202603;73798;94587;126714;33538;856;;64468;40613
201708;202603;72522;93264;124204;31737;782;;62593;39614
201709;202603;71405;91711;122627;30805;820;;62250;39386
201710;202603;69829;90308;120027;30182;802;;60416;38312
201711;202603;68136;88805;117864;29201;772;;59241;37492
201712;202603;67970;87702;116269;28500;776;;58214;37263
201801;202603;65785;85584;114530;28109;796;1639;57377;36046
201802;202603;65546;85344;113194;27566;804;1619;56234;35544
201803;202603;65811;84961;113510;27691;817;1574;55720;35276
201804;202603;65707;84817;112837;27309;815;1567;55563;34891
201805;202603;63600;82232;108245;26874;767;1630;53528;34235
201806;202603;63568;81626;109290;27700;765;1692;53587;33642
201807;202603;67442;85145;112333;28184;772;1678;52827;34061
201808;202603;66044;82753;111171;29170;758;1746;52072;33141
201809;202603;65749;82033;111004;28905;755;1639;51732;32597
201810;202603;65116;81096;109599;28822;742;1762;50230;31780
201811;202603;66168;82152;110733;28618;828;1687;49404;31230
201812;202603;65747;81568;109770;28051;809;1787;48399;30453
201901;202603;64999;81070;108957;27095;809;1709;48335;30514
201902;202603;63988;80010;106934;26538;760;1600;47586;30016
201903;202603;63300;79424;106231;26024;763;1739;46232;29051
201904;202603;62290;78327;105397;26351;761;1664;45888;29064
201905;202603;63466;79774;105499;26595;797;1675;45935;28907
201906;202603;63070;79111;105115;26194;817;1662;45258;28727
201907;202603;63745;80066;104913;25832;758;1632;45556;29164
201908;202603;64180;79596;105352;26374;858;1685;45758;29199
201909;202603;63560;78611;104582;26007;777;1671;45728;28943
201910;202603;63050;78192;104013;26063;790;1657;45690;28904
201911;202603;62955;77884;103588;25683;785;1665;45378;28840
201912;202603;62693;77384;103119;25584;788;1649;45192;28659
202001;202603;61965;76512;101180;23905;769;1628;43906;27750
202002;202603;61028;75472;99965;23936;761;1660;43757;27492
202003;202603;286427;296758;388223;89115;13699;1279;49415;34130
202004;202603;264477;272790;409399;133532;5193;996;102059;76957
202005;202603;192832;201670;359471;156640;1809;1224;140646;86755
202006;202603;143066;156744;281197;120224;1118;1362;153811;79236
202007;202603;135411;154649;250602;108631;979;1507;156176;82780
202008;202603;120992;137424;227184;94775;1031;1314;147400;76794
202009;202603;109417;124254;206780;81840;975;1615;134634;69611
202010;202603;105285;119138;193913;73976;904;1561;126072;66744
202011;202603;115250;128660;201040;71099;1589;1628;117026;63348
202012;202603;110012;124584;194307;68098;1040;1716;122019;66612
202101;202603;112371;128592;190571;62011;1170;1856;123812;70504
202102;202603;111788;127953;194439;64767;1508;1866;125215;69424
202103;202603;113419;129711;199409;68173;1393;1969;129556;70315
202104;202603;111299;127770;197452;67905;1007;2161;138626;75700
202105;202603;100167;116911;186808;70047;685;2235;136171;68692
202106;202603;85780;104423;169410;63487;686;2276;121447;56964
202107;202603;84664;104034;161330;64712;628;2250;113242;56022
202108;202603;75285;94122;147936;56649;649;2276;100491;48053
202109;202603;70460;88553;136293;47559;578;2387;90520;44566
202110;202603;67007;84400;126668;41795;587;2394;80948;40407
202111;202603;62660;79698;118161;37759;563;2399;72809;37408
202112;202603;62571;79588;116504;36098;770;2249;68708;35583
202201;202603;66993;83399;119654;36325;990;2217;64472;34846
202202;202603;59512;75686;112207;35350;598;2407;62232;31510
202203;202603;55382;71303;103266;31483;570;2335;56363;28883
202204;202603;52878;68106;95207;26236;585;2359;36904;20832
202205;202603;50271;65985;89229;23975;596;2250;35777;20318
202206;202603;49800;64799;87327;22824;650;2192;34451;19909
202207;202603;47099;61450;81001;20875;639;2080;32696;19188
202208;202603;47758;61384;81930;21084;642;2158;32216;18922
202209;202603;47975;60846;81594;20783;657;2107;31665;18650
202210;202603;48007;60095;80820;20539;655;2165;30844;18454
202211;202603;48132;59751;80549;20499;670;2017;31150;18728
202212;202603;48740;60102;81050;20619;711;2095;31914;19292
202301;202603;49968;61386;83134;21666;714;1992;33104;19955
202302;202603;50490;61542;83702;21345;708;1916;33654;20486
202303;202603;50762;61809;83271;21292;695;1809;34778;21129
202304;202603;52408;62922;84314;20612;756;1690;35009;21519
202305;202603;52130;63054;83465;21138;711;1776;35787;21971
202306;202603;52485;63852;84823;21316;694;1778;36644;22396
202307;202603;53142;65231;86424;22648;710;1990;37501;22713
202308;202603;54451;66997;88232;21685;708;1796;37651;23120
202309;202603;54535;67633;89156;21653;725;1809;38977;23921
202310;202603;55315;69107;90965;21719;759;1861;39701;24190
202311;202603;55759;70103;92335;21955;762;2032;39580;23983
202312;202603;56506;70922;93274;22062;777;2029;39366;23938
202401;202603;56955;72053;94659;22382;797;2147;40217;24301
202402;202603;57833;73069;96366;22457;794;2084;40132;24382
202403;202603;58088;73419;96133;22495;762;1995;40149;24313
202404;202603;57708;73167;97015;23034;780;1938;40340;23965
202405;202603;60121;76081;97878;22714;809;1934;40700;24981
202406;202603;60288;76403;98438;22613;792;1911;41778;25465
202407;202603;61152;77644;99081;22200;768;1839;42716;26113
202408;202603;60675;77519;99686;22540;792;1933;43405;26509
202409;202603;61071;78654;100655;22207;803;2077;43122;26390
202410;202603;61140;78859;101245;22404;779;1986;44473;26943
202411;202603;61604;79414;101921;22293;809;1829;45607;27704
202412;202603;61762;79917;102559;22459;802;1927;46232;27900
202501;202603;61583;79462;101764;21814;767;1967;46264;28038
202502;202603;61321;79512;101761;21532;771;1962;46635;28456
202503;202603;61474;79853;101853;21653;798;1772;46762;28682
202504;202603;61208;78405;100571;21430;747;2145;46319;28623
202505;202603;63420;82529;104014;22505;828;1792;49207;30100
202506;202603;64090;82139;104305;22848;806;1881;49131;30481
202507;202603;63392;80050;102489;23257;740;2148;49482;30659
202508;202603;64306;80071;102804;23185;781;1966;50822;31663
202509;202603;64113;78627;101885;23490;716;1846;50225;31596
202510;202603;64438;77927;100574;22756;732;1865;49548;30720
202511;202603;64709;77743;101203;23212;727;1979;49758;31137
202512;202603;63645;77075;100080;22759;723;1911;49898;31108
202601;202603;62773;76924;99970;22566;726;1899;47146;29102
202602;202603;62317;76461;99977;22886;755;1904;47120;29038
202603;202603;62366;76564;100087;22955;771;2146;46895;28933
