styrk08,title,exposure_index,exposure_class,eloundou_norm,anthropic_norm,felten_norm
2521,Databasedesignere og -administratorer,0.954785877426856,E3,,,0.954785877426856
2514,Applikasjonsprogrammerere,0.9510433678047507,E3,,,0.9510433678047507
2512,Programvareutviklere,0.9428084176626169,E3,,,0.9428084176626169
2529,Sikkerhetsanalytikere mv.,0.9426150859534568,E3,,,0.9426150859534568
2519,Andre programvare- og applikasjonsutviklere,0.940171681359643,E3,,,0.940171681359643
2511,Systemanalytikere/-arkitekter,0.9243421573381083,E3,,,0.9243421573381083
2513,Nett- og multimediautviklere,0.9000365789197549,E3,,,0.9000365789197549
2211,Allmennpraktiserende leger,0.8688650840271445,E3,,,0.8688650840271445
4132,Dataregistrere,0.8658718302704406,E3,0.9157509157509157,1.0,0.6818645750604058
3514,Internett-teknikere,0.8580175430313657,E3,,,0.8580175430313657
2522,Systemadministratorer,0.8159985071429764,E3,,,0.8159985071429764
3513,"Nettverks- og systemteknikere, IKT",0.815025992607724,E3,,,0.815025992607724
2622,Bibliotekarer og andre informasjonsarbeidere,0.8032282752948274,E3,,,0.8032282752948274
3511,"Driftsteknikere, IKT",0.7920479025540941,E3,,,0.7920479025540941
2431,Reklame- og markedsfÃ¸ringsrÃ¥dgivere,0.7667010363262295,E3,0.7001972386587771,0.6668406142835843,0.9330652560363273
4222,Kundesentermedarbeidere,0.7605413916617919,E3,0.5648795648795649,0.8460563590278813,0.8706882510779295
2523,Nettverksansvarlige,0.7573823222808771,E3,,,0.7573823222808771
2432,InformasjonsrÃ¥dgivere,0.7454260541785441,E2,0.6060606060606061,0.6754137468316684,0.9548038096433578
4227,Intervjuere,0.7406755487628844,E2,0.6896551724137931,0.5741762337855971,0.9581952400892633
4413,Kodere mv.,0.7404377899539876,E2,1.0,0.26554346205456986,0.9557699078073929
4416,Personalkontormedarbeidere,0.7379199374412381,E2,0.6366047745358091,0.6032503354704041,0.9739047023175008
2212,Legespesialister,0.7323080513830853,E2,,,0.7323080513830853
4225,Informasjonsskrankemedarbeidere,0.7322980885646272,E2,0.7680097680097681,0.5310869241091397,0.8977975735749738
2120,"Matematikere, statistikere mv.",0.728984611303115,E2,0.7268730138000088,0.46193529148650664,0.9981455286228297
3313,RegnskapsfÃ¸rere,0.7239350870699153,E2,0.8228980322003577,0.46280005963918297,0.8861071693702052
2412,Finans- og investeringsrÃ¥dgivere,0.7216245422737663,E2,0.49309664694280075,0.6873415834203072,0.9844353964581912
5312,Skoleassistenter,0.7213310019583942,E2,,,0.7213310019583942
5244,Telefon- og nettselgere,0.7198355771210226,E2,0.8262108262108261,0.42522737438497094,0.9080685307672706
2641,Forfattere mv.,0.7133121798699481,E2,0.756390919286847,0.48054271656478303,0.9030029037582145
4311,Regnskapsmedarbeidere,0.7034535729371933,E2,0.8082744129255758,0.3748322647979723,0.9272540410880318
3323,InnkjÃ¸pere,0.692963407010194,E2,0.50192432648573,,0.8840024875346579
1211,Finans- og Ã¸konomisjefer,0.6921176266304906,E2,0.4938271604938271,0.5825257193976443,1.0
2111,Fysikere og astronomer,0.6916577307535503,E2,0.608974358974359,0.49023408379305206,0.9757647494932398
4226,Resepsjonister (ekskl. hotell),0.6908199816589287,E2,0.5470085470085471,0.6467869390189355,0.8786644589493038
4110,Kontormedarbeidere,0.6898023362324172,E2,0.6102786102786103,0.5173699120322053,0.9417584863864357
3311,Finansmeglere,0.6804341889342839,E2,0.5860544963109066,0.5000745489786791,0.9551735215132662
3322,Selgere (engros),0.6792038374051362,E2,0.578739969746221,0.5606083196660206,0.898263222803167
3512,"BrukerstÃ¸tte, IKT",0.6786521585695471,E2,,,0.6786521585695471
2643,"Oversettere, tolker mv.",0.6671259540570458,E2,0.719618366129994,0.3452363202624124,0.936523175778731
4323,TransportfunksjonÃ¦rer,0.6561790404016282,E2,0.6911928651059086,0.33666318771432835,0.9406810683846477
2642,Journalister,0.649838988995626,E2,0.6636500754147814,0.3667809751006411,0.9190859164714553
4223,SentralbordoperatÃ¸rer,0.6482631993486908,E2,0.7814200513691176,0.2879827046369465,0.8753868420400083
2612,Dommere,0.6420352210363974,E2,0.47008547008547,0.4589980617265544,0.9970221312971677
3312,Kundebehandlere lÃ¥n og kreditt,0.6398333315979375,E2,0.6235431235431235,0.31295661249440887,0.9830002587562804
