nus_code,name,level,education_level,field,n_styrk_linked,n_styrk_with_exposure,mean_exposure
654134,"Bachelor, spillteknologi og simulering, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",1,1,0.942808
754138,"Master, informatikk: informasjonssikkerhet, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",1,1,0.942615
782902,"Master, informasjonssikkerhet, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå",Samferdsels- og sikkerhetsfag og andre servicefag,1,1,0.942615
782910,"Master, informasjonssikkerhet, 1½-årig",5,"Universitets-/høgskoleutdanning, høyere nivå",Samferdsels- og sikkerhetsfag og andre servicefag,1,1,0.942615
882902,"Ph.d.-program, informasjonssikkerhet",5,Forskerutdanning,Samferdsels- og sikkerhetsfag og andre servicefag,1,1,0.942615
554140,"Fagskoleutdanning, front-end development, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554142,"Fagskoleutdanning, frontend-utvikling, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554145,"Fagskoleutdanning, app-programmering, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554149,"Fagskoleutdanning, applied machine learning, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554151,"Fagskoleutdanning, backend-programmering, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554153,"Fagskoleutdanning, Back-End Development 1, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554158,"Fagskoleutdanning, Back-End Development 2, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554172,"Fagskoleutdanning, Back-End Development 2, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554173,"Fagskoleutdanning, Cloud Foundations",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
554179,"Fagskoleutdanning, anvendt maskinlæring",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
735115,"Master, informasjonsvitenskap, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå",Samfunnsfag og juridiske fag,3,3,0.939398
735904,"Master, medieteknikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå",Samfunnsfag og juridiske fag,3,3,0.939398
753110,"Master, anvendt matematikk, mekanikk og numerisk fysikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
7549,"Informasjons- og datateknologi, andre",4,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
754901,"Master, telemedicine and E-health, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
754902,"Master of Science, security and mobile computing, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
754903,"Master of Science, embedded computing systems, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
754904,"Master, teknologi, simulering og visualisering, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
