code,level,field,name,field_name,n_total,n_employed,share_employed,share_studying,n_occ,exposure_v1,exposure_v2,q5_v1,q5_v2,automation,automation_coverage,task_coverage,task_exposure,task_automation,n_recent,q_v1,q_v2
355,3,5,"Utdanninger i elektrofag, mekaniske fag og maskinfag","Naturvitenskap, håndverk og teknikk",14836,9341,0.6296,0.0003,174,0.3098,0.3051,0.1428,0.2149,0.4909,0.8084,0.9993,0.2987,0.4389,0,"[0.2486, 0.1221, 0.2479, 0.2387, 0.1428]","[0.2241, 0.195, 0.2464, 0.1196, 0.2149]"
361,3,6,Pleie- og omsorgsfag,"Helse-, sosial- og idrettsfag",10640,6961,0.6542,0.0007,81,0.1737,0.1683,0.0621,0.0798,0.2702,0.9872,0.9994,0.1895,0.4562,0,"[0.7364, 0.0641, 0.1026, 0.0348, 0.0621]","[0.0397, 0.7486, 0.1164, 0.0155, 0.0798]"
341,3,4,Økonomisk-administrative fag,Økonomiske og administrative fag,7873,5509,0.6997,0.0015,177,0.4634,0.4859,0.4099,0.5132,0.4651,0.9508,0.9978,0.4601,0.4851,0,"[0.0853, 0.0688, 0.2097, 0.2264, 0.4099]","[0.0742, 0.1037, 0.1983, 0.1106, 0.5132]"
343,3,4,Kontorfag,Økonomiske og administrative fag,7375,4857,0.6586,0.0,126,0.4554,0.4718,0.4227,0.4895,0.4695,0.9706,0.9994,0.4565,0.5126,0,"[0.0906, 0.0741, 0.2419, 0.1707, 0.4227]","[0.0696, 0.1343, 0.2132, 0.0933, 0.4895]"
379,3,7,"Primærnæringsfag, andre",Primærnæringsfag,6740,2776,0.4119,0.0,115,0.2579,0.2389,0.0796,0.1397,0.4297,0.7831,0.9978,0.2501,0.4687,0,"[0.2907, 0.2082, 0.2305, 0.1909, 0.0796]","[0.2747, 0.2834, 0.2386, 0.0635, 0.1397]"
357,3,5,Bygg- og anleggsfag,"Naturvitenskap, håndverk og teknikk",5773,3536,0.6125,0.0005,131,0.2963,0.2871,0.1543,0.1922,0.4645,0.7299,0.9989,0.2838,0.4547,0,"[0.2729, 0.1367, 0.2223, 0.2138, 0.1543]","[0.2565, 0.19, 0.2435, 0.1178, 0.1922]"
301,3,0,Allmenne fag,Allmenne fag,4212,2262,0.537,0.0017,95,0.2539,0.2386,0.1043,0.1601,0.4418,0.9116,0.9969,0.2527,0.4868,0,"[0.3484, 0.1645, 0.2546, 0.1282, 0.1043]","[0.2687, 0.2856, 0.2537, 0.0319, 0.1601]"
358,3,5,Fabrikasjon og utvinning,"Naturvitenskap, håndverk og teknikk",4144,2253,0.5437,0.0,105,0.2909,0.2803,0.1231,0.1951,0.4442,0.8926,0.9987,0.2887,0.4825,0,"[0.2222, 0.2204, 0.2636, 0.1707, 0.1231]","[0.2009, 0.2511, 0.2907, 0.0622, 0.1951]"
369,3,6,"Helse-, sosial- og idrettsfag, andre","Helse-, sosial- og idrettsfag",3826,2122,0.5546,0.0,57,0.2976,0.2917,0.1843,0.2242,0.4078,0.9797,0.9986,0.31,0.521,0,"[0.2799, 0.1456, 0.3299, 0.0603, 0.1843]","[0.1373, 0.3346, 0.2865, 0.0175, 0.2242]"
359,3,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre","Naturvitenskap, håndverk og teknikk",3349,2066,0.6169,0.0012,119,0.2244,0.2073,0.0639,0.1084,0.4784,0.7256,1.0,0.2142,0.4579,0,"[0.3848, 0.212, 0.1665, 0.1728, 0.0639]","[0.3693, 0.2677, 0.1815, 0.0731, 0.1084]"
362,3,6,Sosialfag,"Helse-, sosial- og idrettsfag",3053,1891,0.6194,0.002,52,0.2213,0.2675,0.0809,0.0994,0.4954,0.9841,1.0,0.2966,0.4949,0,"[0.1417, 0.5627, 0.1703, 0.0444, 0.0809]","[0.0962, 0.147, 0.6335, 0.0238, 0.0994]"
316,3,1,Bildende kunst og kunsthåndverk,Humanistiske og estetiske fag,2862,1363,0.4762,0.0,54,0.3353,0.3358,0.204,0.2735,0.4454,0.9699,0.9978,0.3382,0.5087,0,"[0.1937, 0.1211, 0.38, 0.1012, 0.204]","[0.1426, 0.1912, 0.3544, 0.0382, 0.2735]"
349,3,4,"Økonomiske og administrative fag, andre",Økonomiske og administrative fag,1662,1165,0.701,0.0018,65,0.4829,0.5231,0.5021,0.612,0.4393,0.9811,1.0,0.4786,0.4277,0,"[0.0953, 0.0549, 0.1605, 0.1871, 0.5021]","[0.0901, 0.097, 0.1339, 0.067, 0.612]"
342,3,4,Handel og markedsføring,Økonomiske og administrative fag,1436,831,0.5787,0.0,44,0.4311,0.4502,0.2768,0.4729,0.4613,0.9639,1.0,0.4261,0.4828,0,"[0.0818, 0.0578, 0.2876, 0.296, 0.2768]","[0.0602, 0.13, 0.2647, 0.0722, 0.4729]"
399,3,9,Uoppgitt faggruppe,Uoppgitt fagfelt,1411,769,0.545,0.005,55,0.1411,0.1184,0.0117,0.0169,0.4522,0.7529,1.0,0.1375,0.5108,0,"[0.5787, 0.1912, 0.1534, 0.065, 0.0117]","[0.5657, 0.2224, 0.1678, 0.0273, 0.0169]"
383,3,8,Andre servicefag,"Samferdsel, sikkerhet og service",1223,599,0.4898,0.0,35,0.2984,0.3072,0.1469,0.2337,0.4541,0.985,1.0,0.3146,0.4992,0,"[0.187, 0.2304, 0.3239, 0.1119, 0.1469]","[0.182, 0.1336, 0.4307, 0.02, 0.2337]"
368,3,6,Idrettsfag,"Helse-, sosial- og idrettsfag",905,603,0.6663,0.0,60,0.4301,0.4518,0.2786,0.4461,0.4506,0.9469,1.0,0.4234,0.4594,0,"[0.068, 0.0746, 0.2703, 0.3085, 0.2786]","[0.063, 0.0813, 0.2803, 0.1294, 0.4461]"
354,3,5,Informasjons- og datateknologi,"Naturvitenskap, håndverk og teknikk",741,343,0.4629,0.0,38,0.513,0.5597,0.5685,0.6676,0.4845,0.9767,1.0,0.5058,0.4354,0,"[0.0466, 0.0321, 0.1895, 0.1633, 0.5685]","[0.0437, 0.0875, 0.1516, 0.0496, 0.6676]"
381,3,8,Samferdsel,"Samferdsel, sikkerhet og service",657,357,0.5434,0.0,40,0.3347,0.3057,0.1625,0.2297,0.5425,0.8431,1.0,0.3195,0.5046,0,"[0.1485, 0.0924, 0.4146, 0.1821, 0.1625]","[0.1485, 0.2857, 0.2605, 0.0756, 0.2297]"
389,3,8,"Samferdsels- og sikkerhetsfag og andre servicefag, andre","Samferdsel, sikkerhet og service",633,384,0.6066,0.0,42,0.2068,0.1793,0.0286,0.0755,0.453,0.9089,1.0,0.1988,0.4749,0,"[0.3776, 0.2292, 0.2318, 0.1328, 0.0286]","[0.4141, 0.2135, 0.2734, 0.0234, 0.0755]"
373,3,7,Gartneri og hagebruk,Primærnæringsfag,480,230,0.4792,0.0,26,0.2643,0.2538,0.0652,0.1913,0.5717,0.9043,1.0,0.2561,0.4862,0,"[0.1435, 0.3826, 0.2174, 0.1913, 0.0652]","[0.1391, 0.4, 0.2348, 0.0348, 0.1913]"
382,3,8,Sikkerhet,"Samferdsel, sikkerhet og service",188,105,0.5585,0.0,10,0.3554,0.2747,0.1333,0.1333,0.4224,1.0,1.0,0.3281,0.4351,0,"[0.0381, 0.0, 0.6286, 0.2, 0.1333]","[0.0, 0.6952, 0.0571, 0.1143, 0.1333]"
401,4,0,Allmenne fag,Allmenne fag,234885,156937,0.6681,0.1276,346,0.3709,0.3664,0.236,0.2897,0.4467,0.9179,0.9938,0.3656,0.4502,21696,"[0.1312, 0.1267, 0.3386, 0.1674, 0.236]","[0.1156, 0.184, 0.3164, 0.0942, 0.2897]"
455,4,5,"Utdanninger i elektrofag, mekaniske fag og maskinfag","Naturvitenskap, håndverk og teknikk",169295,144829,0.8555,0.0128,267,0.2495,0.2485,0.0955,0.1107,0.5012,0.8277,0.9973,0.2418,0.4601,13628,"[0.2705, 0.3158, 0.1658, 0.1524, 0.0955]","[0.2395, 0.338, 0.1859, 0.1259, 0.1107]"
457,4,5,Bygg- og anleggsfag,"Naturvitenskap, håndverk og teknikk",105677,87265,0.8258,0.0097,241,0.1994,0.1844,0.0505,0.0713,0.417,0.5282,0.9938,0.1894,0.4392,9123,"[0.4239, 0.2497, 0.0808, 0.1952, 0.0505]","[0.4017, 0.2794, 0.161, 0.0865, 0.0713]"
461,4,6,Pleie- og omsorgsfag,"Helse-, sosial- og idrettsfag",64292,52792,0.8211,0.009,148,0.14,0.1288,0.0269,0.0326,0.2298,0.9924,0.9996,0.1578,0.3819,7963,"[0.8496, 0.0366, 0.0718, 0.0151, 0.0269]","[0.0206, 0.873, 0.0658, 0.0079, 0.0326]"
