O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	8823	IM	n/a	4.52	75	0.1055	4.3146	4.7350	N	08/2023	Incumbent
11-1011.00	8823	RT	n/a	74.44	95	7.3023	57.6139	86.1881	N	08/2023	Incumbent
11-1011.00	8824	IM	n/a	4.32	83	0.1071	4.1057	4.5318	N	08/2023	Incumbent
11-1011.00	8824	RT	n/a	81.71	95	7.8833	61.0491	92.7151	N	08/2023	Incumbent
11-1011.00	8827	IM	n/a	4.30	87	0.1527	3.9916	4.5985	N	08/2023	Incumbent
11-1011.00	8827	RT	n/a	93.41	95	2.9498	84.5520	97.3448	N	08/2023	Incumbent
11-1011.00	8826	IM	n/a	4.24	91	0.1424	3.9608	4.5266	N	08/2023	Incumbent
11-1011.00	8826	RT	n/a	97.79	94	1.5735	91.2414	99.4721	N	08/2023	Incumbent
11-1011.00	8834	IM	n/a	4.17	88	0.1950	3.7827	4.5578	N	08/2023	Incumbent
11-1011.00	8834	RT	n/a	92.92	95	3.5072	81.9943	97.4244	N	08/2023	Incumbent
11-1011.00	8836	IM	n/a	4.14	86	0.1284	3.8832	4.3937	N	08/2023	Incumbent
11-1011.00	8836	RT	n/a	88.43	94	7.5883	63.6669	97.0898	N	08/2023	Incumbent
11-1011.00	8825	IM	n/a	4.13	91	0.1505	3.8353	4.4332	N	08/2023	Incumbent
11-1011.00	8825	RT	n/a	98.57	94	1.2603	92.1011	99.7562	N	08/2023	Incumbent
11-1011.00	8828	IM	n/a	4.13	73	0.1786	3.7774	4.4893	N	08/2023	Incumbent
11-1011.00	8828	RT	n/a	70.43	94	7.4993	53.8141	82.9637	N	08/2023	Incumbent
11-1011.00	8832	IM	n/a	4.13	66	0.1854	3.7629	4.5035	N	08/2023	Incumbent
11-1011.00	8832	RT	n/a	75.74	94	6.5363	60.6384	86.3541	N	08/2023	Incumbent
11-1011.00	8831	IM	n/a	4.09	84	0.1489	3.7906	4.3828	N	08/2023	Incumbent
11-1011.00	8831	RT	n/a	93.14	93	2.2627	87.0457	96.4821	N	08/2023	Incumbent
11-1011.00	8843	IM	n/a	4.09	88	0.1555	3.7763	4.3945	N	08/2023	Incumbent
11-1011.00	8843	RT	n/a	96.73	95	1.7819	90.6242	98.9064	N	08/2023	Incumbent
11-1011.00	8830	IM	n/a	4.07	91	0.1205	3.8261	4.3049	N	08/2023	Incumbent
11-1011.00	8830	RT	n/a	96.42	95	2.4751	86.6452	99.1118	N	08/2023	Incumbent
11-1011.00	8829	IM	n/a	4.06	80	0.1592	3.7447	4.3786	N	08/2023	Incumbent
11-1011.00	8829	RT	n/a	80.19	95	7.5926	61.0428	91.2680	N	08/2023	Incumbent
11-1011.00	8835	IM	n/a	3.98	86	0.1294	3.7208	4.2352	N	08/2023	Incumbent
11-1011.00	8835	RT	n/a	87.04	95	7.5027	64.1967	96.1796	N	08/2023	Incumbent
11-1011.00	8839	IM	n/a	3.94	87	0.1619	3.6207	4.2643	N	08/2023	Incumbent
11-1011.00	8839	RT	n/a	92.70	95	5.0596	74.2136	98.2448	N	08/2023	Incumbent
11-1011.00	8840	IM	n/a	3.92	71	0.1246	3.6712	4.1683	N	08/2023	Incumbent
11-1011.00	8840	RT	n/a	68.36	95	8.5421	49.6542	82.5553	N	08/2023	Incumbent
11-1011.00	8837	IM	n/a	3.80	71	0.1685	3.4607	4.1326	N	08/2023	Incumbent
11-1011.00	8837	RT	n/a	72.17	94	8.4290	52.9831	85.6456	N	08/2023	Incumbent
11-1011.00	8833	IM	n/a	3.79	63	0.1763	3.4340	4.1390	N	08/2023	Incumbent
11-1011.00	8833	RT	n/a	74.11	94	6.6140	59.0773	85.0206	N	08/2023	Incumbent
11-1011.00	8849	IM	n/a	3.59	64	0.2084	3.1786	4.0114	N	08/2023	Incumbent
11-1011.00	8849	RT	n/a	69.01	94	8.3364	50.6627	82.8444	N	08/2023	Incumbent
11-1011.00	8850	IM	n/a	3.55	71	0.1332	3.2887	3.8199	N	08/2023	Incumbent
11-1011.00	8850	RT	n/a	82.46	95	4.9389	70.4702	90.2538	N	08/2023	Incumbent
11-1011.00	8842	IM	n/a	4.07	21	0.3621	3.3099	4.8204	N	08/2023	Incumbent
11-1011.00	8842	RT	n/a	27.05	94	7.6681	14.6296	44.5094	N	08/2023	Incumbent
11-1011.00	8851	IM	n/a	3.98	52	0.1559	3.6622	4.2882	N	08/2023	Incumbent
11-1011.00	8851	RT	n/a	56.65	95	8.5404	39.5829	72.2747	N	08/2023	Incumbent
11-1011.00	8847	IM	n/a	3.90	26	0.2359	3.4184	4.3903	N	08/2023	Incumbent
11-1011.00	8847	RT	n/a	27.31	94	8.1542	14.2474	45.9243	N	08/2023	Incumbent
11-1011.00	8853	IM	n/a	3.88	44	0.2471	3.3790	4.3755	N	08/2023	Incumbent
11-1011.00	8853	RT	n/a	52.57	94	8.7584	35.5606	69.0103	N	08/2023	Incumbent
11-1011.00	8844	IM	n/a	3.81	39	0.2610	3.2854	4.3422	N	08/2023	Incumbent
11-1011.00	8844	RT	n/a	47.82	94	7.8913	32.8473	63.2028	N	08/2023	Incumbent
11-1011.00	20461	IM	n/a	3.81	56	0.1732	3.4663	4.1603	N	08/2023	Incumbent
11-1011.00	20461	RT	n/a	62.05	94	9.4394	42.4518	78.3781	N	08/2023	Incumbent
11-1011.00	8838	IM	n/a	3.78	55	0.2108	3.3594	4.2047	N	08/2023	Incumbent
11-1011.00	8838	RT	n/a	56.74	94	8.1042	40.5026	71.6403	N	08/2023	Incumbent
11-1011.00	8845	IM	n/a	3.70	52	0.2178	3.2618	4.1362	N	08/2023	Incumbent
11-1011.00	8845	RT	n/a	57.44	94	8.7902	39.7899	73.3770	N	08/2023	Incumbent
11-1011.00	8848	IM	n/a	3.66	64	0.1999	3.2614	4.0604	N	08/2023	Incumbent
11-1011.00	8848	RT	n/a	58.30	94	9.0597	40.0097	74.5535	N	08/2023	Incumbent
11-1011.00	8846	IM	n/a	3.51	58	0.2058	3.1012	3.9253	N	08/2023	Incumbent
11-1011.00	8846	RT	n/a	58.06	94	8.7199	40.4703	73.8141	N	08/2023	Incumbent
11-1011.00	8852	IM	n/a	3.42	60	0.2433	2.9353	3.9089	N	08/2023	Incumbent
11-1011.00	8852	RT	n/a	63.86	94	7.8126	47.4304	77.5842	N	08/2023	Incumbent
11-1011.03	15382	IM	n/a	4.38	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	RT	n/a	96.30	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	IM	n/a	4.37	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15379	IM	n/a	4.33	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15379	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15372	IM	n/a	4.22	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15372	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15378	IM	n/a	4.04	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15378	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15380	IM	n/a	3.93	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15380	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15368	IM	n/a	3.88	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15368	RT	n/a	96.30	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15370	IM	n/a	3.85	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15370	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15375	IM	n/a	3.74	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15375	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15376	IM	n/a	3.74	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15376	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15383	IM	n/a	3.65	23	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15383	RT	n/a	85.19	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15377	IM	n/a	3.52	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15377	RT	n/a	92.59	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15381	IM	n/a	3.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15381	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15374	IM	n/a	3.48	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15374	RT	n/a	92.59	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15373	IM	n/a	3.33	24	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15373	RT	n/a	88.89	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15371	IM	n/a	3.33	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15371	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15367	IM	n/a	3.19	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15367	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15369	IM	n/a	3.13	23	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15369	RT	n/a	85.19	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1021.00	20699	IM	n/a	4.18	76	0.1624	3.8551	4.5023	N	08/2023	Incumbent
11-1021.00	20699	RT	n/a	97.14	82	2.6360	83.7197	99.5562	N	08/2023	Incumbent
11-1021.00	933	IM	n/a	4.14	64	0.1212	3.8946	4.3789	N	08/2023	Incumbent
11-1021.00	933	RT	n/a	79.90	82	6.7949	63.1402	90.2203	N	08/2023	Incumbent
11-1021.00	20700	IM	n/a	4.01	67	0.1078	3.7969	4.2272	N	08/2023	Incumbent
11-1021.00	20700	RT	n/a	85.81	82	5.4404	71.3131	93.6356	N	08/2023	Incumbent
11-1021.00	20701	IM	n/a	3.98	66	0.1004	3.7761	4.1771	N	08/2023	Incumbent
11-1021.00	20701	RT	n/a	86.29	82	5.3105	72.0379	93.8903	N	08/2023	Incumbent
11-1021.00	20703	IM	n/a	3.90	61	0.1204	3.6579	4.1397	N	08/2023	Incumbent
11-1021.00	20703	RT	n/a	82.52	82	5.7805	68.0175	91.2865	N	08/2023	Incumbent
11-1021.00	20706	IM	n/a	3.83	63	0.1701	3.4875	4.1677	N	08/2023	Incumbent
11-1021.00	20706	RT	n/a	71.86	82	9.7000	49.5793	86.8999	N	08/2023	Incumbent
11-1021.00	20705	IM	n/a	3.79	75	0.1243	3.5408	4.0360	N	08/2023	Incumbent
11-1021.00	20705	RT	n/a	95.77	82	2.7311	85.5512	98.8567	N	08/2023	Incumbent
11-1021.00	20704	IM	n/a	3.74	70	0.1244	3.4922	3.9885	N	08/2023	Incumbent
11-1021.00	20704	RT	n/a	88.62	82	4.6117	75.8172	95.0856	N	08/2023	Incumbent
11-1021.00	20702	IM	n/a	3.44	66	0.1555	3.1315	3.7527	N	08/2023	Incumbent
11-1021.00	20702	RT	n/a	75.67	82	7.1190	59.0345	87.0372	N	08/2023	Incumbent
11-1021.00	20708	IM	n/a	4.03	39	0.1470	3.7344	4.3294	N	08/2023	Incumbent
11-1021.00	20708	RT	n/a	46.73	82	8.8747	30.1443	64.0671	N	08/2023	Incumbent
11-1021.00	20707	IM	n/a	4.01	33	0.1662	3.6743	4.3515	N	08/2023	Incumbent
11-1021.00	20707	RT	n/a	49.24	81	9.7392	30.8784	67.8104	N	08/2023	Incumbent
11-1021.00	944	IM	n/a	3.87	43	0.2523	3.3602	4.3784	N	08/2023	Incumbent
11-1021.00	944	RT	n/a	59.07	82	8.1821	42.4007	73.8926	N	08/2023	Incumbent
11-1021.00	945	IM	n/a	3.57	31	0.2310	3.0941	4.0377	N	08/2023	Incumbent
11-1021.00	945	RT	n/a	51.98	81	10.2013	32.4315	70.9436	N	08/2023	Incumbent
11-1021.00	947	IM	n/a	3.53	41	0.2438	3.0371	4.0227	N	08/2023	Incumbent
11-1021.00	947	RT	n/a	51.13	82	9.9330	32.1716	69.7622	N	08/2023	Incumbent
11-1021.00	19501	IM	n/a	3.10	43	0.2337	2.6298	3.5732	N	08/2023	Incumbent
11-1021.00	19501	RT	n/a	56.52	82	8.9538	38.6345	72.8527	N	08/2023	Incumbent
11-1021.00	949	IM	n/a	2.92	35	0.1902	2.5382	3.3112	N	08/2023	Incumbent
11-1021.00	949	RT	n/a	51.62	82	9.9083	32.6373	70.1441	N	08/2023	Incumbent
11-1021.00	948	IM	n/a	2.79	36	0.1959	2.3965	3.1919	N	08/2023	Incumbent
11-1021.00	948	RT	n/a	49.78	82	10.0886	30.7506	68.8707	N	08/2023	Incumbent
11-2011.00	3224	IM	n/a	4.13	66	0.1181	3.8900	4.3616	N	08/2018	Incumbent
11-2011.00	3224	RT	n/a	96.37	73	2.2923	87.7929	98.9874	N	08/2018	Incumbent
11-2011.00	3226	IM	n/a	4.07	60	0.1350	3.8005	4.3407	N	08/2018	Incumbent
11-2011.00	3226	RT	n/a	87.26	72	3.5018	78.5187	92.7741	N	08/2018	Incumbent
11-2011.00	3231	IM	n/a	3.90	69	0.1128	3.6700	4.1203	N	08/2018	Incumbent
11-2011.00	3231	RT	n/a	97.19	72	1.7359	90.6903	99.1901	N	08/2018	Incumbent
11-2011.00	3242	IM	n/a	3.87	54	0.1347	3.5962	4.1366	N	08/2018	Incumbent
11-2011.00	3242	RT	n/a	80.19	71	5.9877	65.6225	89.5681	N	08/2018	Incumbent
11-2011.00	3227	IM	n/a	3.84	53	0.1367	3.5663	4.1148	N	08/2018	Incumbent
11-2011.00	3227	RT	n/a	78.64	71	4.4982	68.3341	86.2623	N	08/2018	Incumbent
11-2011.00	3238	IM	n/a	3.81	53	0.1282	3.5557	4.0701	N	08/2018	Incumbent
11-2011.00	3238	RT	n/a	78.17	71	4.9068	66.8661	86.4025	N	08/2018	Incumbent
11-2011.00	3237	IM	n/a	3.81	59	0.1211	3.5697	4.0545	N	08/2018	Incumbent
11-2011.00	3237	RT	n/a	83.59	72	4.0726	73.8116	90.2066	N	08/2018	Incumbent
11-2011.00	3223	IM	n/a	3.67	55	0.1218	3.4240	3.9124	N	08/2018	Incumbent
11-2011.00	3223	RT	n/a	81.73	71	4.8452	70.0790	89.5246	N	08/2018	Incumbent
11-2011.00	3243	IM	n/a	3.61	57	0.1404	3.3279	3.8902	N	08/2018	Incumbent
11-2011.00	3243	RT	n/a	79.02	74	4.5046	68.6646	86.6159	N	08/2018	Incumbent
11-2011.00	3233	IM	n/a	3.59	54	0.1070	3.3745	3.8035	N	08/2018	Incumbent
11-2011.00	3233	RT	n/a	77.04	71	6.3968	61.9954	87.3464	N	08/2018	Incumbent
11-2011.00	3229	IM	n/a	3.55	56	0.1297	3.2881	3.8079	N	08/2018	Incumbent
