task_name,collaboration,count,pct
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",not_classified,21.0,100.0
act as advisers to student organizations.,directive,33.0,28.947368421052634
act as advisers to student organizations.,not_classified,17.0,14.912280701754385
act as advisers to student organizations.,task iteration,64.0,56.14035087719298
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,17.0,23.61111111111111
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,9.0,12.5
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,task iteration,46.0,63.888888888888886
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",directive,15.0,28.846153846153843
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,9.0,17.307692307692307
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",task iteration,28.0,53.84615384615385
act as liaisons between on-site managers or tenants and owners.,not_classified,29.0,100.0
adapt instructional content or delivery methods for different levels or types of learners.,directive,229.0,44.1233140655106
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,13.0,2.5048169556840074
adapt instructional content or delivery methods for different levels or types of learners.,task iteration,277.0,53.371868978805395
adapt teaching methods and instructional materials to meet students' varying needs and interests.,directive,61.0,41.49659863945578
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,8.0,5.442176870748299
adapt teaching methods and instructional materials to meet students' varying needs and interests.,task iteration,78.0,53.06122448979592
adapt text to accommodate musical requirements of composers and singers.,directive,187.0,58.25545171339564
adapt text to accommodate musical requirements of composers and singers.,not_classified,13.0,4.049844236760125
adapt text to accommodate musical requirements of composers and singers.,task iteration,121.0,37.69470404984423
adapt the quantity of ingredients to match the amount of items to be baked.,not_classified,29.0,57.99999999999999
adapt the quantity of ingredients to match the amount of items to be baked.,task iteration,21.0,42.0
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,58.0,75.32467532467533
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",not_classified,4.0,5.194805194805195
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",task iteration,15.0,19.480519480519483
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",not_classified,17.0,100.0
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",not_classified,27.0,100.0
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,815.0,57.11282410651717
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",feedback loop,51.0,3.5739313244569026
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,321.0,22.494744218640506
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,12.0,0.8409250175192713
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",task iteration,154.0,10.79187105816398
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",validation,74.0,5.185704274702172
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",not_classified,24.0,100.0
