task_name,collaboration,count,pct
act as advisers to student organizations.,not_classified,17.0,100.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,23.0,46.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,3.0,6.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,task iteration,24.0,48.0
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,16.0,100.0
act as liaisons between on-site managers or tenants and owners.,not_classified,16.0,100.0
adapt instructional content or delivery methods for different levels or types of learners.,directive,268.0,52.54901960784314
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,22.0,4.313725490196078
adapt instructional content or delivery methods for different levels or types of learners.,task iteration,220.0,43.13725490196079
adapt software and accompanying technical documents to another language and culture.,not_classified,16.0,100.0
adapt teaching methods and instructional materials to meet students' varying needs and interests.,directive,43.0,37.391304347826086
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,6.0,5.217391304347826
adapt teaching methods and instructional materials to meet students' varying needs and interests.,task iteration,66.0,57.391304347826086
"adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",not_classified,34.0,100.0
adapt text to accommodate musical requirements of composers and singers.,directive,75.0,66.96428571428571
adapt text to accommodate musical requirements of composers and singers.,not_classified,4.0,3.571428571428571
adapt text to accommodate musical requirements of composers and singers.,task iteration,33.0,29.464285714285715
adapt the quantity of ingredients to match the amount of items to be baked.,not_classified,19.0,100.0
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,58.0,82.85714285714286
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",not_classified,12.0,17.142857142857142
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,554.0,53.526570048309175
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",feedback loop,46.0,4.444444444444445
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,273.0,26.3768115942029
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,4.0,0.3864734299516908
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",task iteration,100.0,9.66183574879227
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",validation,58.0,5.603864734299517
"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",not_classified,20.0,100.0
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",not_classified,16.0,100.0
adjust sales scripts to better target the needs and interests of specific individuals.,not_classified,8.0,25.806451612903224
adjust sales scripts to better target the needs and interests of specific individuals.,task iteration,23.0,74.19354838709677
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,directive,15.0,51.724137931034484
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,not_classified,14.0,48.275862068965516
"administer highway planning, construction, or maintenance.",directive,15.0,42.857142857142854
"administer highway planning, construction, or maintenance.",not_classified,20.0,57.14285714285714
administer online purchasing systems.,directive,34.0,65.38461538461539
administer online purchasing systems.,not_classified,18.0,34.61538461538461
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,directive,25.0,55.55555555555556
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,not_classified,20.0,44.44444444444444
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",directive,25.0,28.08988764044944
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",learning,44.0,49.43820224719101
