task_name,collaboration,count,pct
access computerized financial information to answer general questions as well as those related to specific accounts.,directive,23.0,79.3103448275862
access computerized financial information to answer general questions as well as those related to specific accounts.,not_classified,6.0,20.689655172413794
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,52.0,80.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,13.0,20.0
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",directive,90.0,90.0
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,10.0,10.0
adapt instructional content or delivery methods for different levels or types of learners.,directive,137.0,82.03592814371258
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,30.0,17.964071856287426
adapt teaching methods and instructional materials to meet students' varying needs and interests.,directive,28.0,71.7948717948718
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,11.0,28.205128205128204
adapt text to accommodate musical requirements of composers and singers.,directive,32.0,88.88888888888889
adapt text to accommodate musical requirements of composers and singers.,not_classified,4.0,11.11111111111111
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,43.0,97.72727272727273
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",not_classified,1.0,2.272727272727273
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,387.0,81.13207547169812
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,16.0,3.3542976939203357
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",none,23.0,4.821802935010482
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,10.0,2.0964360587002098
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",task iteration,17.0,3.563941299790356
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",validation,24.0,5.031446540880504
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",not_classified,17.0,100.0
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,directive,41.0,63.07692307692307
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,not_classified,24.0,36.92307692307693
"administer highway planning, construction, or maintenance.",directive,31.0,86.11111111111111
"administer highway planning, construction, or maintenance.",not_classified,5.0,13.88888888888889
administer online purchasing systems.,directive,189.0,79.74683544303798
administer online purchasing systems.,none,21.0,8.860759493670885
administer online purchasing systems.,not_classified,27.0,11.39240506329114
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,directive,79.0,82.29166666666666
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,not_classified,17.0,17.708333333333336
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",not_classified,17.0,100.0
"administer, proctor, or score academic or diagnostic assessments.",directive,284.0,66.82352941176471
"administer, proctor, or score academic or diagnostic assessments.",learning,20.0,4.705882352941177
"administer, proctor, or score academic or diagnostic assessments.",none,35.0,8.235294117647058
"administer, proctor, or score academic or diagnostic assessments.",not_classified,6.0,1.411764705882353
