task_name,collaboration,count,pct
access computerized financial information to answer general questions as well as those related to specific accounts.,directive,33.0,78.57142857142857
access computerized financial information to answer general questions as well as those related to specific accounts.,not_classified,9.0,21.428571428571427
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",not_classified,17.0,100.0
act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,not_classified,15.0,100.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,42.0,79.24528301886792
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,11.0,20.754716981132077
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",directive,94.0,94.0
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,6.0,6.0
adapt instructional content or delivery methods for different levels or types of learners.,directive,130.0,84.9673202614379
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,7.0,4.57516339869281
adapt instructional content or delivery methods for different levels or types of learners.,task iteration,16.0,10.457516339869281
adapt teaching methods and instructional materials to meet students' varying needs and interests.,directive,36.0,70.58823529411765
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,15.0,29.411764705882355
adapt text to accommodate musical requirements of composers and singers.,directive,17.0,80.95238095238095
adapt text to accommodate musical requirements of composers and singers.,not_classified,4.0,19.047619047619047
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,58.0,98.30508474576271
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",not_classified,1.0,1.694915254237288
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,375.0,81.87772925764192
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,25.0,5.458515283842795
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,27.0,5.895196506550218
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",validation,31.0,6.768558951965066
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",directive,21.0,67.74193548387096
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",not_classified,10.0,32.25806451612903
administer construction contracts.,directive,18.0,85.71428571428571
administer construction contracts.,not_classified,3.0,14.285714285714285
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,directive,196.0,65.33333333333333
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,feedback loop,21.0,7.000000000000001
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,none,34.0,11.333333333333332
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,not_classified,5.0,1.6666666666666667
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,task iteration,23.0,7.666666666666666
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,validation,21.0,7.000000000000001
"administer highway planning, construction, or maintenance.",directive,22.0,95.65217391304348
"administer highway planning, construction, or maintenance.",not_classified,1.0,4.3478260869565215
administer online purchasing systems.,directive,968.0,87.84029038112523
administer online purchasing systems.,feedback loop,23.0,2.087114337568058
administer online purchasing systems.,learning,20.0,1.8148820326678767
administer online purchasing systems.,none,67.0,6.0798548094373865
administer online purchasing systems.,not_classified,9.0,0.8166969147005444
administer online purchasing systems.,validation,15.0,1.3611615245009074
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,not_classified,24.0,100.0
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",not_classified,19.0,100.0
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",directive,17.0,65.38461538461539
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",not_classified,9.0,34.61538461538461
"administer, proctor, or score academic or diagnostic assessments.",directive,218.0,53.30073349633252
"administer, proctor, or score academic or diagnostic assessments.",learning,35.0,8.557457212713937
"administer, proctor, or score academic or diagnostic assessments.",none,38.0,9.290953545232274
"administer, proctor, or score academic or diagnostic assessments.",not_classified,4.0,0.9779951100244498
"administer, proctor, or score academic or diagnostic assessments.",validation,114.0,27.87286063569682
advise and teach students.,not_classified,26.0,100.0
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",directive,40.0,56.33802816901409
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",none,16.0,22.535211267605636
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",not_classified,15.0,21.12676056338028
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",not_classified,19.0,100.0
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",not_classified,24.0,100.0
advise clients on financial and legal matters such as investments and taxes.,directive,52.0,52.52525252525253
advise clients on financial and legal matters such as investments and taxes.,learning,26.0,26.262626262626267
advise clients on financial and legal matters such as investments and taxes.,not_classified,21.0,21.21212121212121
advise clients on how they could be helped by counseling.,directive,21.0,26.25
advise clients on how they could be helped by counseling.,learning,19.0,23.75
advise clients on how they could be helped by counseling.,none,34.0,42.5
advise clients on how they could be helped by counseling.,not_classified,6.0,7.5
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",directive,184.0,69.17293233082707
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",learning,36.0,13.533834586466165
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",none,23.0,8.646616541353383
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",not_classified,23.0,8.646616541353383
advise corporations on issues involving corporate image projects or problems.,not_classified,19.0,100.0
"advise customers concerning equipment operation, maintenance, or programming.",not_classified,26.0,100.0
advise customers of necessary actions and strategies for debt repayment.,directive,32.0,59.25925925925925
advise customers of necessary actions and strategies for debt repayment.,not_classified,22.0,40.74074074074074
advise customers on use and care of merchandise.,not_classified,20.0,100.0
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",directive,18.0,60.0
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",not_classified,12.0,40.0
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",directive,22.0,78.57142857142857
