task_name,count,pct
act as advisers to student organizations.,17.0,0.0017625822451980003
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,50.0,0.0051840654270529415
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",16.0,0.0016589009366569413
act as liaisons between on-site managers or tenants and owners.,16.0,0.0016589009366569413
adapt instructional content or delivery methods for different levels or types of learners.,510.0,0.052877467355940004
adapt software and accompanying technical documents to another language and culture.,16.0,0.0016589009366569413
adapt teaching methods and instructional materials to meet students' varying needs and interests.,115.0,0.011923350482221765
"adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",34.0,0.0035251644903960006
adapt text to accommodate musical requirements of composers and singers.,112.0,0.01161230655659859
adapt the quantity of ingredients to match the amount of items to be baked.,19.0,0.001969944862280118
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",70.0,0.007257691597874118
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",1035.0,0.10731015433999588
"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",20.0,0.0020736261708211765
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",16.0,0.0016589009366569413
adjust sales scripts to better target the needs and interests of specific individuals.,31.0,0.003214120564772824
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,29.0,0.0030067579476907064
"administer highway planning, construction, or maintenance.",35.0,0.003628845798937059
administer online purchasing systems.,52.0,0.0053914280441350595
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,45.0,0.004665658884347648
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",89.0,0.009227636460154237
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",224.0,0.02322461311319718
"administer, proctor, or score academic or diagnostic assessments.",185.0,0.019181042080095884
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,26.0,0.0026957140220675298
advise and teach students.,179.0,0.018558954228849532
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",290.0,0.030067579476907063
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",84.0,0.008709229917448942
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",197.0,0.02042521778258859
advise clients about colors and types of makeup and instruct them in makeup application techniques.,20.0,0.0020736261708211765
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",337.0,0.034940600978336823
advise clients on financial and legal matters such as investments and taxes.,925.0,0.09590521040047942
advise clients on how they could be helped by counseling.,548.0,0.05681735708050024
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",858.0,0.08895856272822848
advise clients on nail care and use of products and colors.,21.0,0.0021773074793622355
advise clients on transportation and payment methods.,26.0,0.0026957140220675298
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",22.0,0.0022809887879032945
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",28.0,0.0029030766391496474
advise corporations on issues involving corporate image projects or problems.,101.0,0.010471812162646942
advise customer about or perform maintenance of software system.,44.0,0.004561977575806589
"advise customers concerning equipment operation, maintenance, or programming.",77.0,0.00798346075766153
advise customers of necessary actions and strategies for debt repayment.,62.0,0.006428241129545648
advise customers on plant selection or care.,123.0,0.012752800950550236
advise customers on product usage to improve production.,19.0,0.001969944862280118
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",28.0,0.0029030766391496474
advise customers on use and care of merchandise.,46.0,0.004769340192888706
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",54.0,0.005598790661217177
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,21.0,0.0021773074793622355
advise internal management or business partners on the implementation or operation of compliance programs.,22.0,0.0022809887879032945
"advise land users, such as farmers or ranchers, on plans, problems, or alternative conservation solutions.",17.0,0.0017625822451980003
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",494.0,0.05121856641928307
"advise management on organizing, preparing, or implementing recruiting or retention programs.",24.0,0.002488351404985412
"advise management on short-term and long-term financial objectives, policies, and actions.",19.0,0.001969944862280118
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",17.0,0.0017625822451980003
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",21.0,0.0021773074793622355
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",17.0,0.0017625822451980003
advise or assist in obtaining patents or meeting other legal requirements.,178.0,0.018455272920308474
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",203.0,0.021047305633834945
advise other physicians on the treatment of neurological problems.,15.0,0.0015552196281158827
advise participants in use of heat or ultraviolet treatments and hot baths.,22.0,0.0022809887879032945
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",29.0,0.0030067579476907064
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",560.0,0.05806153278299295
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",21.0,0.0021773074793622355
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",25.0,0.0025920327135264707
advise producers about improved products and techniques that could enhance their animal production efforts.,15.0,0.0015552196281158827
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",37.0,0.0038362084160191772
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",42.0,0.004354614958724471
"advise retail managers on compliance with applicable codes, laws, regulations, or standards.",15.0,0.0015552196281158827
advise students on academic and vocational curricula and career issues.,230.0,0.02384670096444353
advise students on academic and vocational curricula and on career issues.,716.0,0.07423581691539813
"advise students on academic and vocational curricula, and on career issues.",254.0,0.026335052369428947
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",186.0,0.019284723388636942
"advise students on course selection, career decisions, and other academic and vocational concerns.",128.0,0.01327120749325553
"advise students on internships, prospective employers, and job placement services.",27.0,0.0027993953306085883
"advise students on issues such as course selection, progress toward graduation, and career decisions.",97.0,0.010057086928482707
advocate for accessible health care that minimizes environmental health risks.,21.0,0.0021773074793622355
"align, adjust, or calibrate equipment according to specifications.",63.0,0.006531922438086707
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",15.0,0.0015552196281158827
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,57.0,0.005909834586840353
analyze and classify risks and investments to determine their potential impacts on companies.,71.0,0.007361372906415177
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",15.0,0.0015552196281158827
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,30.0,0.0031104392562317654
analyze and evaluate robotic systems or prototypes.,20.0,0.0020736261708211765
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",438.0,0.04541241314098377
analyze and interpret data to increase the understanding of human social behavior.,74.0,0.0076724168320383545
