geo_id,collaboration,count,pct
AD,directive,15.0,21.428571428571427
AD,not_classified,29.0,41.42857142857143
AD,task iteration,26.0,37.142857142857146
AE,directive,1260.0,32.44913726500129
AE,feedback loop,464.0,11.949523564254443
AE,learning,647.0,16.662374452742725
AE,none,75.0,1.9314962657738861
AE,task iteration,1250.0,32.19160442956477
AE,validation,187.0,4.815864022662889
AL,directive,88.0,26.74772036474164
AL,feedback loop,72.0,21.88449848024316
AL,learning,65.0,19.756838905775076
AL,not_classified,15.0,4.5592705167173255
AL,task iteration,89.0,27.0516717325228
AM,directive,181.0,33.95872420262664
AM,feedback loop,61.0,11.44465290806754
AM,learning,104.0,19.51219512195122
AM,not_classified,11.0,2.0637898686679175
AM,task iteration,149.0,27.954971857410882
AM,validation,27.0,5.065666041275797
AO,directive,118.0,44.528301886792455
AO,feedback loop,30.0,11.320754716981133
AO,learning,40.0,15.09433962264151
AO,not_classified,9.0,3.3962264150943398
AO,task iteration,68.0,25.660377358490567
AR,directive,1809.0,29.714191852825227
AR,feedback loop,965.0,15.850854139290407
AR,learning,1318.0,21.64914586070959
AR,none,142.0,2.3324572930354797
AR,task iteration,1583.0,26.001971090670175
AR,validation,271.0,4.451379763469119
AT,directive,802.0,26.416337285902504
AT,feedback loop,412.0,13.570487483530963
AT,learning,774.0,25.494071146245062
AT,none,58.0,1.9104084321475625
AT,task iteration,815.0,26.844532279314887
AT,validation,175.0,5.7641633728590245
AU,directive,4371.0,28.22184917355372
AU,feedback loop,1660.0,10.71797520661157
AU,learning,3533.0,22.81120867768595
AU,none,301.0,1.943440082644628
AU,task iteration,4724.0,30.50103305785124
AU,validation,899.0,5.804493801652892
AZ,directive,163.0,28.95204262877442
AZ,feedback loop,105.0,18.650088809946713
AZ,learning,111.0,19.715808170515096
AZ,none,21.0,3.7300177619893424
AZ,task iteration,140.0,24.866785079928952
AZ,validation,23.0,4.085257548845471
BA,directive,99.0,29.64071856287425
BA,feedback loop,68.0,20.35928143712575
BA,learning,73.0,21.856287425149702
BA,not_classified,4.0,1.1976047904191618
BA,task iteration,75.0,22.45508982035928
BA,validation,15.0,4.491017964071856
BB,directive,37.0,45.67901234567901
BB,not_classified,26.0,32.098765432098766
BB,task iteration,18.0,22.22222222222222
BD,directive,1035.0,35.51818805765271
BD,feedback loop,377.0,12.93754289636239
BD,learning,552.0,18.94303363074811
BD,none,80.0,2.7453671928620453
BD,task iteration,761.0,26.115305422100203
BD,validation,109.0,3.740562800274537
BE,directive,1180.0,26.69079393802307
BE,feedback loop,657.0,14.860891201085726
BE,learning,1018.0,23.026464600769057
BE,none,96.0,2.1714544220764536
BE,task iteration,1225.0,27.708663198371408
BE,validation,245.0,5.541732639674281
BF,directive,115.0,33.43023255813954
BF,feedback loop,39.0,11.337209302325581
BF,learning,78.0,22.674418604651162
BF,not_classified,23.0,6.686046511627906
BF,task iteration,89.0,25.872093023255815
BG,directive,417.0,28.464163822525595
BG,feedback loop,226.0,15.426621160409557
BG,learning,344.0,23.48122866894198
BG,none,49.0,3.3447098976109215
BG,task iteration,362.0,24.7098976109215
BG,validation,67.0,4.573378839590444
BH,directive,102.0,36.29893238434164
BH,feedback loop,45.0,16.014234875444842
BH,learning,38.0,13.523131672597867
BH,not_classified,23.0,8.185053380782918
BH,task iteration,73.0,25.97864768683274
BJ,directive,191.0,35.634328358208954
BJ,feedback loop,66.0,12.313432835820896
BJ,learning,90.0,16.791044776119403
BJ,not_classified,24.0,4.477611940298507
BJ,task iteration,165.0,30.783582089552237
BN,directive,29.0,34.11764705882353
BN,not_classified,29.0,34.11764705882353
BN,task iteration,27.0,31.76470588235294
BO,directive,532.0,34.63541666666667
BO,feedback loop,181.0,11.783854166666668
BO,learning,284.0,18.489583333333336
BO,none,32.0,2.083333333333333
BO,task iteration,469.0,30.533854166666668
BO,validation,38.0,2.473958333333333
BR,directive,9838.0,35.64234475762626
BR,feedback loop,3423.0,12.401275269907977
BR,learning,3970.0,14.383015723498296
BR,none,640.0,2.3186725599594236
BR,task iteration,8516.0,30.852836750960076
BR,validation,1215.0,4.4018549380479675
BS,directive,16.0,29.629629629629626
BS,not_classified,17.0,31.48148148148148
BS,task iteration,21.0,38.88888888888889
BT,directive,28.0,43.75
BT,not_classified,20.0,31.25
BT,task iteration,16.0,25.0
BW,directive,48.0,28.402366863905325
BW,feedback loop,15.0,8.875739644970414
BW,learning,41.0,24.2603550295858
BW,not_classified,14.0,8.284023668639055
BW,task iteration,51.0,30.17751479289941
CA,directive,6138.0,26.85744289839853
CA,feedback loop,2925.0,12.798634812286688
CA,learning,5447.0,23.83390216154721
CA,none,540.0,2.362824888422158
CA,task iteration,6406.0,28.030104139319157
CA,validation,1398.0,6.117091100026253
CG,directive,62.0,41.891891891891895
CG,feedback loop,16.0,10.81081081081081
CG,learning,21.0,14.18918918918919
CG,not_classified,6.0,4.054054054054054
CG,task iteration,43.0,29.054054054054053
CH,directive,1413.0,27.722189523248968
CH,feedback loop,667.0,13.0861290955464
CH,learning,1237.0,24.26917794781244
CH,none,100.0,1.9619383951343927
CH,task iteration,1426.0,27.97724151461644
CH,validation,254.0,4.983323523641358
CI,directive,492.0,43.12007011393514
CI,feedback loop,106.0,9.290096406660824
CI,learning,201.0,17.616126205083262
CI,none,34.0,2.9798422436459244
CI,task iteration,281.0,24.62751971954426
CI,validation,27.0,2.366345311130587
CL,directive,1192.0,31.21235925634983
CL,feedback loop,517.0,13.5375752814873
CL,learning,749.0,19.612463995810423
CL,none,76.0,1.9900497512437811
CL,task iteration,1096.0,28.69861220214716
CL,validation,189.0,4.948939512961508
CM,directive,429.0,41.73151750972763
CM,feedback loop,120.0,11.673151750972762
CM,learning,198.0,19.26070038910506
CM,none,19.0,1.8482490272373542
CM,task iteration,238.0,23.151750972762645
CM,validation,24.0,2.3346303501945527
CO,directive,3035.0,34.32869584888587
CO,feedback loop,1122.0,12.690872073294877
CO,learning,1402.0,15.85793462278023
CO,none,155.0,1.7531953398936773
CO,task iteration,2792.0,31.580137993439656
CO,validation,335.0,3.7891641217056895
CR,directive,333.0,31.03448275862069
CR,feedback loop,154.0,14.352283317800559
CR,learning,201.0,18.732525629077355
CR,none,15.0,1.3979496738117427
CR,task iteration,314.0,29.263746505125816
CR,validation,56.0,5.21901211556384
CV,directive,15.0,33.33333333333333
CV,not_classified,14.0,31.11111111111111
CV,task iteration,16.0,35.55555555555556
CY,directive,176.0,32.17550274223035
CY,feedback loop,69.0,12.614259597806216
CY,learning,110.0,20.109689213893965
CY,none,16.0,2.9250457038391224
CY,task iteration,153.0,27.97074954296161
CY,validation,23.0,4.204753199268739
CZ,directive,798.0,27.631578947368425
CZ,feedback loop,415.0,14.369806094182824
CZ,learning,719.0,24.896121883656512
CZ,none,59.0,2.042936288088643
CZ,task iteration,734.0,25.41551246537396
CZ,validation,163.0,5.64404432132964
DE,directive,6744.0,26.57001024347963
DE,feedback loop,3419.0,13.470175715073673
DE,learning,6569.0,25.88054526830037
DE,none,544.0,2.1432511228429596
DE,task iteration,6741.0,26.558190843905127
DE,validation,1365.0,5.377826806398235
DJ,directive,23.0,46.0
DJ,not_classified,27.0,54.0
DK,directive,506.0,23.523942352394236
DK,feedback loop,301.0,13.99349139934914
DK,learning,610.0,28.35890283589028
DK,none,47.0,2.1850302185030217
DK,task iteration,562.0,26.12738261273826
DK,validation,125.0,5.8112505811250585
DO,directive,586.0,39.197324414715716
DO,feedback loop,173.0,11.57190635451505
DO,learning,237.0,15.852842809364548
DO,none,41.0,2.74247491638796
DO,task iteration,406.0,27.157190635451506
DO,validation,52.0,3.4782608695652173
DZ,directive,922.0,34.02214022140221
DZ,feedback loop,351.0,12.952029520295202
DZ,learning,571.0,21.070110701107012
DZ,none,74.0,2.730627306273063
DZ,task iteration,693.0,25.571955719557195
DZ,validation,99.0,3.6531365313653135
EC,directive,1265.0,36.64542294322132
EC,feedback loop,276.0,7.995365005793744
EC,learning,556.0,16.10660486674392
EC,none,53.0,1.5353418308227114
EC,task iteration,1151.0,33.34298957126304
EC,validation,151.0,4.374275782155272
EE,directive,180.0,25.245441795231415
EE,feedback loop,101.0,14.165497896213184
EE,learning,208.0,29.172510518934082
EE,none,20.0,2.805049088359046
EE,task iteration,164.0,23.00140252454418
EE,validation,40.0,5.610098176718092
EG,directive,1753.0,31.866933284857296
EG,feedback loop,960.0,17.451372477731322
EG,learning,1037.0,18.851117978549357
EG,none,164.0,2.981276131612434
EG,task iteration,1363.0,24.77731321577895
EG,validation,224.0,4.071986911470642
ES,directive,4109.0,29.152181624689604
ES,feedback loop,2054.0,14.572543455125931
ES,learning,2934.0,20.815892160340546
ES,none,268.0,1.9013834693153602
ES,task iteration,4025.0,28.55622561191912
ES,validation,705.0,5.001773678609435
FI,directive,449.0,24.656781987918727
FI,feedback loop,230.0,12.630422844590882
FI,learning,502.0,27.56727073036793
FI,none,38.0,2.086765513454146
FI,task iteration,500.0,27.457440966501924
FI,validation,102.0,5.601317957166392
FJ,directive,29.0,47.540983606557376
FJ,not_classified,32.0,52.459016393442624
FR,directive,8569.0,28.366657838983052
FR,feedback loop,4038.0,13.367319915254235
FR,learning,6545.0,21.66644597457627
FR,none,621.0,2.0557468220338984
FR,task iteration,9006.0,29.813294491525422
FR,validation,1429.0,4.7305349576271185
GA,directive,75.0,44.37869822485207
GA,learning,29.0,17.159763313609467
GA,not_classified,19.0,11.242603550295858
GA,task iteration,46.0,27.218934911242602
GB,directive,8419.0,27.417201289608233
GB,feedback loop,3458.0,11.261275930569576
GB,learning,6967.0,22.688637769889603
GB,none,660.0,2.1493470544175595
GB,task iteration,9377.0,30.53701110495978
GB,validation,1826.0,5.946526850555248
GE,directive,375.0,27.39225712198685
GE,feedback loop,191.0,13.951789627465303
GE,learning,328.0,23.9590942293645
GE,none,36.0,2.6296566837107376
GE,task iteration,371.0,27.10007304601899
GE,validation,68.0,4.967129291453616
GH,directive,583.0,37.71021992238033
GH,feedback loop,184.0,11.901681759379043
GH,learning,265.0,17.141009055627425
GH,none,42.0,2.716688227684347
GH,task iteration,427.0,27.61966364812419
GH,validation,45.0,2.910737386804657
GM,directive,16.0,44.44444444444444
GM,not_classified,20.0,55.55555555555556
GN,directive,36.0,41.37931034482759
GN,learning,19.0,21.839080459770116
GN,not_classified,8.0,9.195402298850574
