month,country_code,country_name,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,ai_education_years_mean,human_education_years_mean
2026-04-01,CHE,Switzerland,0.62,4.74,43.53,43.67,12.8,45.47,54.53,2.67,12.59,11.78
2026-04-01,DEU,Germany,2.78,2.36,41.78,46.07,12.15,46.1,53.9,2.67,12.45,11.66
2026-04-01,DNK,Denmark,0.29,3.37,43.04,39.02,17.94,44.72,55.28,2.66,12.74,12.14
2026-04-01,FIN,Finland,0.19,2.4,40.1,45.55,14.35,45.53,54.47,2.67,12.59,11.94
2026-04-01,GBR,United Kingdom,3.33,3.4,41.92,41.37,16.71,45.02,54.98,2.69,12.74,12.05
2026-04-01,ISL,Iceland,0.03,4.34,36.79,42.18,21.02,46.0,54.0,2.7,12.57,11.81
2026-04-01,NLD,Netherlands,0.97,3.74,45.67,43.39,10.94,47.13,52.87,2.69,12.42,11.6
2026-04-01,NOR,Norway,0.32,3.92,36.58,42.42,20.99,44.3,55.7,2.64,12.63,11.98
2026-04-01,SWE,Sweden,0.44,3.0,43.02,44.26,12.72,45.89,54.11,2.66,12.43,11.74
2026-04-01,USA,United States,20.97,4.25,41.44,45.82,12.74,49.47,50.53,2.69,12.44,11.83
2026-05-01,CHE,Switzerland,0.7,5.02,38.78,43.92,17.3,44.15,55.85,2.68,12.56,11.73
2026-05-01,DEU,Germany,2.98,2.4,37.62,48.73,13.65,45.22,54.78,2.68,12.4,11.57
2026-05-01,DNK,Denmark,0.32,3.57,35.36,39.33,25.31,42.27,57.73,2.65,12.92,12.33
2026-05-01,FIN,Finland,0.18,2.19,38.49,48.67,12.85,45.91,54.09,2.66,12.41,11.7
2026-05-01,GBR,United Kingdom,3.47,3.35,39.02,43.47,17.5,44.81,55.19,2.69,12.69,11.98
2026-05-01,ISL,Iceland,0.02,4.02,36.46,48.94,14.6,48.38,51.62,2.71,12.36,11.44
2026-05-01,NLD,Netherlands,1.07,3.9,40.82,44.54,14.64,45.27,54.73,2.69,12.41,11.61
2026-05-01,NOR,Norway,0.35,4.04,31.17,42.45,26.38,41.26,58.74,2.63,12.63,11.96
2026-05-01,SWE,Sweden,0.46,2.98,38.11,44.96,16.93,44.3,55.7,2.65,12.46,11.72
2026-05-01,USA,United States,20.16,3.87,41.32,49.74,8.94,49.59,50.41,2.71,12.31,11.64
