sector,age_group,outcome,ai_q,coef,se,p_value,n_obs,n_occ
1,1,employment,2,0.0364127248698163,0.0179054459171362,0.0419907580969846,21700,350
1,1,employment,3,0.0319229462921797,0.0213571801694544,0.134988242067706,21700,350
1,1,employment,4,-0.106058026446506,0.0877478198612398,0.226790225340144,21700,350
1,1,employment,5,0.0541100996330441,0.032738137556774,0.0983684282651123,21700,350
1,1,log_wage,2,0.0109926570592565,0.0315271223184731,0.727548722050408,17464,350
1,1,log_wage,3,-0.0412967549859926,0.0160352401223279,0.0104314516581398,17464,350
1,1,log_wage,4,-0.00598445173858649,0.0366104245420193,0.870250132468213,17464,350
1,1,log_wage,5,-0.059553143019781,0.0169814698915735,0.000513558235678924,17464,350
1,1,new_hires,2,0.0376563883783038,0.0988419863804501,0.70322132917761,21700,350
1,1,new_hires,3,0.177918860952167,0.143636996845337,0.215467676117714,21700,350
1,1,new_hires,4,0.335538538764308,0.240971963391586,0.163789778983799,21700,350
1,1,new_hires,5,-0.0697308585090797,0.102325104912022,0.495578042226616,21700,350
1,2,employment,2,-0.0212073648318156,0.022117360381918,0.337631267700576,22072,356
1,2,employment,3,0.0175233712759857,0.0187242644274285,0.349343042110983,22072,356
1,2,employment,4,-0.00519439667392274,0.0329988987543175,0.874920777085686,22072,356
1,2,employment,5,0.0404098944027695,0.0220936944856156,0.0673960337195209,22072,356
1,2,log_wage,2,-0.0054172056857414,0.0119177149637185,0.649712689946848,18465,356
1,2,log_wage,3,-0.0144820639593358,0.0104290444178574,0.165823910679845,18465,356
1,2,log_wage,4,-0.0235215056238903,0.0108670470813614,0.0310993338846569,18465,356
1,2,log_wage,5,-0.0285769773773218,0.00956402559482162,0.0030055343080661,18465,356
1,2,new_hires,2,-0.0655438689350666,0.0989987206842884,0.507927746876883,22072,356
1,2,new_hires,3,-0.0275377105465904,0.145304549509139,0.849687480156625,22072,356
1,2,new_hires,4,-0.337039025271874,0.126271185526879,0.00760393744344341,22072,356
1,2,new_hires,5,-0.378070789811605,0.0733342803924255,2.53030397493264e-07,22072,356
1,3,employment,2,-0.00883279894547462,0.0146245453530538,0.545863029080573,22444,362
1,3,employment,3,-0.0126347201974373,0.0146592583836765,0.388746100609837,22444,362
1,3,employment,4,-0.0117782689550129,0.0142169900430908,0.407407594753524,22444,362
1,3,employment,5,0.00790674858451146,0.0180675625212051,0.661660892837067,22444,362
1,3,log_wage,2,-0.00857595350447499,0.0111807505666838,0.443571561542703,18505,362
1,3,log_wage,3,-0.00929563493864899,0.00922706316861893,0.314409742550697,18505,362
1,3,log_wage,4,-0.0120359524041021,0.0102402590164772,0.24063550070561,18505,362
1,3,log_wage,5,-0.0272462496099077,0.00773535419921692,0.000483337725632645,18505,362
1,3,new_hires,2,-0.042342222921381,0.0740155958247151,0.567273444738672,22444,362
1,3,new_hires,3,-0.0869381777337321,0.145177979771341,0.549280521123141,22444,362
1,3,new_hires,4,-0.288566325874711,0.0872825616682033,0.000945987138006276,22444,362
1,3,new_hires,5,-0.538988655111917,0.0710343729412469,3.25593320141321e-14,22444,362
1,4,employment,2,0.0115095389623015,0.0129166040365301,0.372894084845559,21886,353
1,4,employment,3,0.0531979174348094,0.0122305046149467,1.36380254180822e-05,21886,353
1,4,employment,4,0.0491601422422429,0.0107195401223685,4.51751769654724e-06,21886,353
1,4,employment,5,0.0370687945544895,0.0200988466869815,0.0651358689188635,21886,353
1,4,log_wage,2,-0.00472856568986529,0.0151205210197153,0.754675280371811,18892,353
1,4,log_wage,3,-0.00475420480231457,0.0136593176481055,0.728006918055542,18892,353
1,4,log_wage,4,-0.0111858007774144,0.0137632607697778,0.416924361842735,18892,353
1,4,log_wage,5,-0.0249095619391469,0.012394091220217,0.0452179336005711,18892,353
1,4,new_hires,2,-0.0303551819806294,0.183697876446367,0.868751034145918,21886,353
1,4,new_hires,3,-0.0125592766779497,0.212402620452678,0.952848902396499,21886,353
1,4,new_hires,4,-0.36183777950191,0.139998950760145,0.00974991142955304,21886,353
1,4,new_hires,5,-0.399585811916303,0.128697571259337,0.00190379754927256,21886,353
2,1,employment,2,0.042804379778198,0.0340556230864836,0.208791261606931,24366,393
2,1,employment,3,0.0449882526246707,0.0204084725097845,0.0274968597921374,24366,393
2,1,employment,4,0.0194217639581475,0.0203244579061074,0.339281523769338,24366,393
2,1,employment,5,0.0213095483250931,0.0219580198037043,0.331813432219566,24366,393
2,1,log_wage,2,-0.00462177785498041,0.00828252763755186,0.577153238249865,23070,393
2,1,log_wage,3,-0.00226346008378628,0.00604439726579037,0.708255876670747,23070,393
