age_group,spec,ai_q,term,coef,se,n_obs,n_occ
1,joint,1,dslope_agentic,-0.000827474504759307,0.00234557977435276,24366,393
1,joint,1,dslope_chatgpt,-0.00305926647791341,0.00158493965204631,24366,393
1,joint,1,slope_mid,-0.000800358312630676,0.00129569456420928,24366,393
1,joint,1,slope_post,-0.00162783281738998,0.00174627026810254,24366,393
1,joint,1,slope_pre,0.00225890816528273,0.00207005052512292,24366,393
1,joint,2,dslope_agentic,0.000643653663132143,0.00259357621822595,24366,393
1,joint,2,dslope_chatgpt,-0.005677053440546,0.00379768040509148,24366,393
1,joint,2,slope_mid,9.39970474291788e-05,0.00169051155318509,24366,393
1,joint,2,slope_post,0.000737650710561322,0.00225118351464578,24366,393
1,joint,2,slope_pre,0.00577105048797518,0.0038401082569273,24366,393
1,joint,4,dslope_agentic,-0.00544995333962143,0.00229087069440663,24366,393
1,joint,4,dslope_chatgpt,-0.00600464860595542,0.00215474954384863,24366,393
1,joint,4,slope_mid,0.000219217050274473,0.00130501234237852,24366,393
1,joint,4,slope_post,-0.00523073628934696,0.00173458372128188,24366,393
1,joint,4,slope_pre,0.00622386565622989,0.00288771393630032,24366,393
1,joint,5,dslope_agentic,-0.0076237653113553,0.00269538238798916,24366,393
1,joint,5,dslope_chatgpt,-0.00710074414007551,0.00165563930106521,24366,393
1,joint,5,slope_mid,-0.000302420562370028,0.00141210361307434,24366,393
1,joint,5,slope_post,-0.00792618587372532,0.00194796409574624,24366,393
1,joint,5,slope_pre,0.00679832357770548,0.00228981717092579,24366,393
1,preseas,1,dslope_agentic,-0.00073799465616475,0.00211213767911298,24366,393
1,preseas,1,dslope_chatgpt,-0.00303359555030714,0.00173880082136854,24366,393
1,preseas,1,slope_mid,-0.000800162030795153,0.0012733513431049,24366,393
1,preseas,1,slope_post,-0.0015381566869599,0.00157981636536446,24366,393
1,preseas,1,slope_pre,0.00223343351951199,0.00218655531579807,24366,393
1,preseas,2,dslope_agentic,0.000692688554227331,0.00260601242369467,24366,393
1,preseas,2,dslope_chatgpt,-0.00553144043200281,0.00409965992511777,24366,393
1,preseas,2,slope_mid,0.000117261782662238,0.00168008156552572,24366,393
1,preseas,2,slope_post,0.000809950336889569,0.00230808635871933,24366,393
1,preseas,2,slope_pre,0.00564870221466505,0.0040842952684964,24366,393
1,preseas,4,dslope_agentic,-0.00534260310544973,0.00221795922763936,24366,393
1,preseas,4,dslope_chatgpt,-0.0060159061678901,0.00234688445034935,24366,393
1,preseas,4,slope_mid,0.000212156716669101,0.00126675394423937,24366,393
1,preseas,4,slope_post,-0.00513044638878063,0.0017560097358934,24366,393
1,preseas,4,slope_pre,0.0062280628845592,0.00306401606440576,24366,393
1,preseas,5,dslope_agentic,-0.00732726966122311,0.00241014238229564,24366,393
1,preseas,5,dslope_chatgpt,-0.00714824139385508,0.00176846354650909,24366,393
1,preseas,5,slope_mid,-0.000325605103110044,0.00137963397251732,24366,393
1,preseas,5,slope_post,-0.00765287476433315,0.00174853628012159,24366,393
1,preseas,5,slope_pre,0.00682263629074504,0.00238722238114879,24366,393
2,joint,1,dslope_agentic,0.00103996966966691,0.00128155255836716,24242,391
2,joint,1,dslope_chatgpt,-0.00255777144616502,0.00138015945063857,24242,391
2,joint,1,slope_mid,-0.00171280683732997,0.000911574127550827,24242,391
2,joint,1,slope_post,-0.00067283716766306,0.00101975595446714,24242,391
2,joint,1,slope_pre,0.000844964608835047,0.0011514640085744,24242,391
2,joint,2,dslope_agentic,0.00393516599544107,0.00221578078875511,24242,391
2,joint,2,dslope_chatgpt,-0.00286083536669043,0.00241172089287073,24242,391
2,joint,2,slope_mid,-0.00133026437030179,0.00165751317109066,24242,391
2,joint,2,slope_post,0.00260490162513927,0.00231248746287915,24242,391
2,joint,2,slope_pre,0.00153057099638863,0.00207637146818953,24242,391
2,joint,4,dslope_agentic,-0.0014332382287584,0.0011535241045608,24242,391
2,joint,4,dslope_chatgpt,-0.000499556574902033,0.00112633911131758,24242,391
2,joint,4,slope_mid,0.00119452736262931,0.000786677544233847,24242,391
2,joint,4,slope_post,-0.00023871086612909,0.00103657727280883,24242,391
2,joint,4,slope_pre,0.00169408393753134,0.00105015860533678,24242,391
2,joint,5,dslope_agentic,-0.0014552694446386,0.00102077296310519,24242,391
2,joint,5,dslope_chatgpt,-0.00103459996444386,0.00113368058161437,24242,391
2,joint,5,slope_mid,0.00125882653551503,0.000806302199541032,24242,391
2,joint,5,slope_post,-0.000196442909123574,0.000942357531250996,24242,391
2,joint,5,slope_pre,0.00229342649995888,0.00105562886675369,24242,391
2,preseas,1,dslope_agentic,0.000990239034976314,0.00126556652566775,24242,391
2,preseas,1,dslope_chatgpt,-0.00254261417821463,0.0014419605542912,24242,391
2,preseas,1,slope_mid,-0.00170727202514666,0.00091795543565547,24242,391
2,preseas,1,slope_post,-0.000717032990170345,0.00100689778991231,24242,391
2,preseas,1,slope_pre,0.000835342153067973,0.00118027629810511,24242,391
2,preseas,2,dslope_agentic,0.00387744817626341,0.00223895493693033,24242,391
2,preseas,2,dslope_chatgpt,-0.00278944327261816,0.00257253074173706,24242,391
2,preseas,2,slope_mid,-0.00131487117094746,0.00165159540496175,24242,391
2,preseas,2,slope_post,0.00256257700531595,0.0023405930063886,24242,391
2,preseas,2,slope_pre,0.0014745721016707,0.00223654160015507,24242,391
2,preseas,4,dslope_agentic,-0.00136504966722775,0.00115932257700175,24242,391
2,preseas,4,dslope_chatgpt,-0.000530970734404634,0.0011774307645667,24242,391
2,preseas,4,slope_mid,0.00118594417550282,0.000789296010337274,24242,391
2,preseas,4,slope_post,-0.000179105491724934,0.0010395491355176,24242,391
2,preseas,4,slope_pre,0.00171691490990745,0.00108333629290124,24242,391
2,preseas,5,dslope_agentic,-0.00138756159882953,0.00103045748355234,24242,391
2,preseas,5,dslope_chatgpt,-0.00106689800814314,0.00115817708586426,24242,391
2,preseas,5,slope_mid,0.00124984688770997,0.000809387292052645,24242,391
2,preseas,5,slope_post,-0.000137714711119566,0.000957276203554067,24242,391
